Year,State,County,Value
2014,INDIANA,ST. JOSEPH,160.8
2014,INDIANA,WABASH,181
2014,INDIANA,ADAMS,183.3
2014,INDIANA,ALLEN,185.8
2014,INDIANA,DE KALB,164.7
2014,INDIANA,HUNTINGTON,185.4
2014,INDIANA,LAGRANGE,151.2
2014,INDIANA,NOBLE,168.8
2014,INDIANA,STEUBEN,160.5
2014,INDIANA,WELLS,189.9
2014,INDIANA,WHITLEY,183.1
2014,INDIANA,BENTON,202.4
2014,INDIANA,JASPER,174.2
2014,INDIANA,LA PORTE,167.9
2014,INDIANA,LAKE,167.4
2014,INDIANA,NEWTON,185.1
2014,INDIANA,PORTER,177.1
2014,INDIANA,PULASKI,155.7
2014,INDIANA,STARKE,156.3
2014,INDIANA,WHITE,194.2
2014,INDIANA,FLOYD,152.1
2014,INDIANA,HARRISON,178
2014,INDIANA,JACKSON,171.5
2014,INDIANA,LAWRENCE,190.4
2014,INDIANA,MONROE,180.6
2014,INDIANA,ORANGE,196.9
2014,INDIANA,OTHER (COMBINED) COUNTIES,172.5
2014,INDIANA,PERRY,172.5
2014,INDIANA,WASHINGTON,180
2014,INDIANA,CLARK,173.3
2014,INDIANA,DEARBORN,165.9
2014,INDIANA,FRANKLIN,194.1
2014,INDIANA,JEFFERSON,188
2014,INDIANA,JENNINGS,186.6
2014,INDIANA,OHIO,182.8
2014,INDIANA,RIPLEY,178.3
2014,INDIANA,SCOTT,190.7
2014,INDIANA,SWITZERLAND,164.1
2014,INDIANA,DAVIESS,210.2
2014,INDIANA,DUBOIS,190.4
2014,INDIANA,GIBSON,195.3
2014,INDIANA,GREENE,186
2014,INDIANA,KNOX,194.2
2014,INDIANA,MARTIN,188.5
2014,INDIANA,PIKE,170.7
2014,INDIANA,POSEY,197.3
2014,INDIANA,SPENCER,174
2014,INDIANA,SULLIVAN,196
2014,INDIANA,VANDERBURGH,188
2014,INDIANA,WARRICK,175.4
2014,INDIANA,CLAY,200.3
2014,INDIANA,FOUNTAIN,204.8
2014,INDIANA,MONTGOMERY,205.3
2014,INDIANA,OTHER (COMBINED) COUNTIES,190.7
2014,INDIANA,PUTNAM,198.6
2014,INDIANA,TIPPECANOE,206.6
2014,INDIANA,VERMILLION,213.6
2014,INDIANA,WARREN,209.5
2013,INDIANA,BARTHOLOMEW,176.6
2013,INDIANA,BOONE,189.8
2013,INDIANA,CLINTON,191.5
2013,INDIANA,DECATUR,183.2
2013,INDIANA,GRANT,181.1
2013,INDIANA,HAMILTON,173.6
2013,INDIANA,HANCOCK,173.7
2013,INDIANA,HENDRICKS,183.6
2013,INDIANA,JOHNSON,172.9
2013,INDIANA,MADISON,181.1
2013,INDIANA,MORGAN,179.8
2013,INDIANA,OTHER (COMBINED) COUNTIES,189.2
2013,INDIANA,RUSH,193.6
2013,INDIANA,SHELBY,178.8
2013,INDIANA,TIPTON,191.2
2013,INDIANA,BLACKFORD,172.5
2013,INDIANA,DELAWARE,174.3
2013,INDIANA,FAYETTE,172.2
2013,INDIANA,OTHER (COMBINED) COUNTIES,179.1
2013,INDIANA,RANDOLPH,171.3
2013,INDIANA,UNION,211.5
2013,INDIANA,WAYNE,177.3
2013,INDIANA,CARROLL,197.1
2013,INDIANA,CASS,192.3
2013,INDIANA,ELKHART,180.4
2013,INDIANA,FULTON,179
2013,INDIANA,KOSCIUSKO,176.7
2013,INDIANA,MARSHALL,171
2013,INDIANA,MIAMI,174.7
2013,INDIANA,ST. JOSEPH,157.9
2013,INDIANA,WABASH,178.8
2013,INDIANA,ADAMS,176.7
2013,INDIANA,ALLEN,180.7
2013,INDIANA,DE KALB,167.7
2013,INDIANA,HUNTINGTON,191.7
2013,INDIANA,LAGRANGE,154.4
2013,INDIANA,NOBLE,164.1
2013,INDIANA,OTHER (COMBINED) COUNTIES,179.9
2013,INDIANA,WHITLEY,181
2013,INDIANA,BENTON,181.1
2013,INDIANA,JASPER,179.9
2013,INDIANA,LA PORTE,150.4
2013,INDIANA,LAKE,155
2013,INDIANA,NEWTON,174.1
2013,INDIANA,PORTER,177.8
2013,INDIANA,PULASKI,163
2013,INDIANA,STARKE,161.7
